,Unnamed: 0,runs,mins,BF,4s,6s,SR,Pos,Dismissal,Inns,opponent,ground,date,match,total
493,511,44,107,59,6,0,74.57,2,bowled,2,Zimbabwe,Hobart,14Jan2004,ODI,22057
494,512,86,129,95,8,0,90.52,2,caught,1,Australia,Brisbane,18Jan2004,ODI,22143
495,513,5,17,6,1,0,83.33,2,caught,1,Australia,Perth,1Feb2004,ODI,22148
496,514,3,16,8,0,0,37.50,2,caught,2,Zimbabwe,Perth,3Feb2004,ODI,22151
497,515,8,28,22,1,0,36.36,2,bowled,1,Australia,Melbourne,6Feb2004,ODI,22159
498,516,27,38,40,4,0,67.50,2,caught,2,Australia,Sydney,8Feb2004,ODI,22186
499,517,28,49,35,4,1,80.00,2,caught,1,Pakistan,Karachi,13Mar2004,ODI,22214
500,518,141,173,135,17,1,104.44,2,caught,2,Pakistan,Rawalpindi,16Mar2004,ODI,22355
501,519,0,7,5,0,0,0.00,2,caught,1,Pakistan,Peshawar,19Mar2004,ODI,22355
502,520,7,22,13,1,0,53.84,2,caught,2,Pakistan,Lahore,21Mar2004,ODI,22362
503,521,37,60,48,7,0,77.08,2,caught,1,Pakistan,Lahore,24Mar2004,ODI,22399
504,522,194,493,348,21,0,55.74,4,notout,1,Pakistan,Multan,28Mar2004,Test,22593
505,523,2,10,6,0,0,33.33,4,lbw,1,Pakistan,Lahore,5Apr2004,Test,22595
506,524,8,17,11,1,0,72.72,4,lbw,3,Pakistan,Lahore,5Apr2004,Test,22603
507,525,1,6,3,0,0,33.33,4,caught,2,Pakistan,Rawalpindi,13Apr2004,Test,22604
508,526,18,39,25,2,0,72.00,2,caught,1,U.A.E.,Dambulla,16Jul2004,ODI,22622
509,527,11,17,13,2,0,84.61,1,caught,2,SriLanka,Dambulla,18Jul2004,ODI,22633
510,528,82,157,126,10,1,65.07,2,notout,2,Bangladesh,Colombo(SSC),21Jul2004,ODI,22715
511,529,78,192,103,6,0,75.72,2,caught,2,Pakistan,Colombo(RPS),25Jul2004,ODI,22793
512,530,18,30,21,3,0,85.71,1,lbw,1,SriLanka,Colombo(RPS),27Jul2004,ODI,22811
513,531,74,170,100,7,1,74.00,2,bowled,2,SriLanka,Colombo(RPS),1Aug2004,ODI,22885
514,532,8,49,36,0,0,22.22,4,lbw,2,Australia,Nagpur,26Oct2004,Test,22893
515,533,2,18,14,0,0,14.28,4,caught,4,Australia,Nagpur,26Oct2004,Test,22895
516,534,5,43,35,0,0,14.28,4,caught,1,Australia,Wankhede,3Nov2004,Test,22900
517,535,55,120,83,6,1,66.26,4,caught,3,Australia,Wankhede,3Nov2004,Test,22955
518,536,16,30,17,2,0,94.11,2,runout,1,Pakistan,Kolkata,13Nov2004,ODI,22971
519,537,3,21,18,0,0,16.66,4,bowled,2,SouthAfrica,Kanpur,20Nov2004,Test,22974
520,538,20,82,54,3,0,37.03,4,bowled,2,SouthAfrica,Kolkata,28Nov2004,Test,22994
521,539,32,73,64,3,1,50.00,4,notout,4,SouthAfrica,Kolkata,28Nov2004,Test,23026
522,540,248,552,379,35,0,65.43,4,notout,2,Bangladesh,Dhaka,10Dec2004,Test,23274
523,541,36,79,55,6,0,65.45,4,lbw,1,Bangladesh,Chattogram,17Dec2004,Test,23310
524,542,19,46,32,3,0,59.37,2,caught,1,Bangladesh,Chattogram,23Dec2004,ODI,23329
525,543,47,60,42,9,0,111.90,2,caught,1,Bangladesh,Dhaka,27Dec2004,ODI,23376
526,544,94,301,202,11,0,46.53,4,caught,2,Pakistan,Mohali,8Mar2005,Test,23470
527,546,52,147,102,9,0,50.98,4,caught,1,Pakistan,Kolkata,16Mar2005,Test,23522
528,547,52,117,91,9,0,57.14,4,caught,3,Pakistan,Kolkata,16Mar2005,Test,23574
529,548,41,78,71,7,0,57.74,4,caught,2,Pakistan,Bengaluru,24Mar2005,Test,23615
530,549,16,140,98,2,0,16.32,4,caught,4,Pakistan,Bengaluru,24Mar2005,Test,23631
531,550,4,8,4,1,0,100.00,2,caught,1,Pakistan,Kochi,2Apr2005,ODI,23635
532,551,2,17,8,0,0,25.00,2,runout,1,Pakistan,Visakhapatnam,5Apr2005,ODI,23637
533,552,6,15,11,1,0,54.54,2,caught,2,Pakistan,Jamshedpur,9Apr2005,ODI,23643
534,553,123,192,130,12,2,94.61,2,bowled,1,Pakistan,Ahmedabad,12Apr2005,ODI,23766
535,554,1,13,10,0,0,10.00,2,caught,1,Pakistan,Kanpur,15Apr2005,ODI,23767
536,555,9,38,15,0,0,60.00,2,bowled,2,Pakistan,Delhi,17Apr2005,ODI,23776
537,556,93,149,96,9,2,96.87,2,caught,1,SriLanka,Nagpur,25Oct2005,ODI,23869
538,557,67,87,69,11,0,97.10,2,notout,2,SriLanka,Mohali,28Oct2005,ODI,23936
539,558,2,2,3,0,0,66.66,2,caught,2,SriLanka,Jaipur,31Oct2005,ODI,23938
540,559,11,28,19,1,1,57.89,2,bowled,2,SriLanka,Pune,3Nov2005,ODI,23949
541,560,19,46,30,3,0,63.33,2,caught,2,SriLanka,Rajkot,9Nov2005,ODI,23968
542,561,39,76,48,8,0,81.25,2,caught,2,SriLanka,Vadodara,12Nov2005,ODI,24007
543,562,2,20,9,0,0,22.22,2,caught,1,SouthAfrica,Hyderabad(Deccan),16Nov2005,ODI,24009
544,563,2,31,22,0,0,9.09,2,caught,2,SouthAfrica,Bengaluru,19Nov2005,ODI,24011
545,564,2,18,15,0,0,13.33,3,caught,1,SouthAfrica,Kolkata,25Nov2005,ODI,24013
546,565,30,77,44,5,0,68.18,2,caught,2,SouthAfrica,Wankhede,28Nov2005,ODI,24043
547,566,22,157,126,2,0,17.46,4,lbw,1,SriLanka,Chennai,2Dec2005,Test,24065
548,567,109,310,196,14,1,55.61,4,lbw,1,SriLanka,Delhi,10Dec2005,Test,24174
549,568,16,42,28,3,0,57.14,4,lbw,3,SriLanka,Delhi,10Dec2005,Test,24190
550,569,23,85,66,2,0,34.84,4,caught,1,SriLanka,Ahmedabad,18Dec2005,Test,24213
551,570,19,40,29,3,0,65.51,4,lbw,3,SriLanka,Ahmedabad,18Dec2005,Test,24232
552,572,14,64,33,3,0,42.42,4,caught,2,Pakistan,Faisalabad,21Jan2006,Test,24246
553,574,23,49,29,5,0,79.31,4,bowled,2,Pakistan,Karachi,29Jan2006,Test,24269
554,575,26,74,47,5,0,55.31,4,bowled,4,Pakistan,Karachi,29Jan2006,Test,24295
555,576,100,188,113,10,1,88.49,2,lbw,1,Pakistan,Peshawar,6Feb2006,ODI,24395
556,577,42,71,43,8,0,97.67,2,caught,2,Pakistan,Rawalpindi,11Feb2006,ODI,24437
557,578,95,157,104,16,1,91.34,2,caught,2,Pakistan,Lahore,13Feb2006,ODI,24532
558,579,0,7,3,0,0,0.00,2,caught,2,Pakistan,Multan,16Feb2006,ODI,24532
559,580,16,84,45,2,0,35.55,4,lbw,2,England,Nagpur,1Mar2006,Test,24548
560,581,28,38,19,5,0,147.36,6,notout,4,England,Nagpur,1Mar2006,Test,24576
561,582,4,20,15,0,0,26.66,4,caught,2,England,Mohali,9Mar2006,Test,24580
562,584,1,33,21,0,0,4.76,4,caught,2,England,Wankhede,18Mar2006,Test,24581
563,585,34,77,57,5,0,59.64,5,caught,4,England,Wankhede,18Mar2006,Test,24615
564,586,2,16,3,0,0,66.66,2,notout,1,SriLanka,Colombo(SSC),18Aug2006,ODI,24617
565,587,141,-,148,13,5,95.27,2,notout,1,WestIndies,KualaLumpur,14Sep2006,ODI,24758
566,588,12,30,17,2,0,70.58,2,caught,2,Australia,KualaLumpur,16Sep2006,ODI,24770
567,589,65,154,102,7,0,63.72,2,runout,1,WestIndies,KualaLumpur,20Sep2006,ODI,24835
568,590,4,11,10,1,0,40.00,2,caught,2,Australia,KualaLumpur,22Sep2006,ODI,24839
569,591,35,87,41,5,0,85.36,2,lbw,2,England,Jaipur,15Oct2006,ODI,24874
570,592,29,81,45,4,0,64.44,2,bowled,1,WestIndies,Ahmedabad,26Oct2006,ODI,24903
571,593,10,46,26,2,0,38.46,2,caught,1,Australia,Mohali,29Oct2006,ODI,24913
572,594,35,79,51,5,0,68.62,2,bowled,2,SouthAfrica,Durban,22Nov2006,ODI,24948
573,595,2,20,9,0,0,22.22,2,caught,2,SouthAfrica,CapeTown,26Nov2006,ODI,24950
574,596,1,4,3,0,0,33.33,3,caught,2,SouthAfrica,Gqeberha,29Nov2006,ODI,24951
575,597,10,18,12,2,0,83.33,2,bowled,2,SouthAfrica,Johannesburg,1Dec2006,TI,24961
576,598,55,134,97,8,0,56.70,2,caught,1,SouthAfrica,Centurion,3Dec2006,ODI,25016
577,599,44,113,89,7,0,49.43,4,caught,1,SouthAfrica,Johannesburg,15Dec2006,Test,25060
578,600,14,43,22,3,0,63.63,4,bowled,3,SouthAfrica,Johannesburg,15Dec2006,Test,25074
579,601,63,173,115,11,0,54.78,4,caught,2,SouthAfrica,Durban,26Dec2006,Test,25137
580,602,0,13,7,0,0,0.00,4,lbw,4,SouthAfrica,Durban,26Dec2006,Test,25137
581,603,64,187,130,11,0,49.23,4,caught,1,SouthAfrica,CapeTown,2Jan2007,Test,25201
582,604,14,88,62,1,0,22.58,5,lbw,3,SouthAfrica,CapeTown,2Jan2007,Test,25215
